frame,timestamp,player_id,shot_type,wrist_velocity
23,0.92,1,forehand,59.29
48,1.92,1,forehand,82.98
294,11.76,1,forehand,58.9
318,12.72,1,backhand,56.88
339,13.56,1,backhand,58.89
482,19.28,0,backhand,88.16
495,19.8,1,backhand,55.99
499,19.96,0,backhand,78.19
547,21.88,1,backhand,57.4
566,22.64,1,forehand,64.15
622,24.88,2,forehand,64.57
733,29.32,0,backhand,122.03
785,31.4,1,forehand,70.39
860,34.4,1,backhand,67.31
951,38.04,2,backhand,192.4
953,38.12,1,forehand,75.39
970,38.8,1,forehand,79.17
1032,41.28,2,forehand,125.44
1059,42.36,2,forehand,100.67
1170,46.8,0,forehand,75.84
1230,49.2,0,smash,73.51
1260,50.4,1,backhand,79.53
1313,52.52,1,forehand,140.03
1351,54.04,1,backhand,88.66
1408,56.32,1,forehand,89.56
1426,57.04,2,forehand,79.53
1485,59.4,1,forehand,97.13
1522,60.88,0,backhand,63.82
1557,62.28,2,backhand,67.68
1573,62.92,0,backhand,56.1
1593,63.72,1,smash,131.39
1661,66.44,1,backhand,61.48
1796,71.84,1,backhand,64.76
1813,72.52,1,forehand,69.21
1958,78.32,0,forehand,57.48
1964,78.56,1,backhand,74.32
1988,79.52,1,smash,62.35
1991,79.64,2,backhand,129.61
2019,80.76,1,forehand,67.29
2051,82.04,0,forehand,63.17
2116,84.64,0,backhand,60.62
